#lambda/nm	DC	C1
208.295	468.2	465.8
208.67	438.4	431.4
209.045	395.6	389.6
209.419	405.6	397.2
209.794	568.4	566.6
210.169	546	554.6
210.544	673.4	659.8
210.919	564.8	577
211.295	565.8	566.4
211.67	571.6	576
212.045	562.6	571.8
212.421	575.2	577.2
212.796	599.2	607
213.172	563.8	560.2
213.547	562.8	569
213.923	576.2	560
214.299	565.4	563.8
214.675	581.6	574.2
215.051	572.6	576.6
215.427	574.4	578
215.803	582	592.4
216.179	569.4	574
216.555	552.8	563.2
216.932	582.8	583.6
217.308	571.6	570.4
217.684	573.8	563.6
218.061	580	578.6
218.438	572.6	577.6
218.814	560.6	565.4
219.191	577.4	577.8
219.568	561	567
219.945	574	567.8
220.322	582.8	574.6
220.699	571	580
221.076	584.4	582
221.453	575.8	579.4
221.83	570.4	563.2
222.208	570.6	559
222.585	564.4	571.4
222.962	574	567.6
223.34	575.6	576.4
223.717	567.8	571.4
224.095	566	567.4
224.473	563.8	568.4
224.851	561.2	570
225.229	558.8	564.6
225.607	582.6	583.6
225.985	561.4	566.2
226.363	566.6	573.4
226.741	570.6	564.6
227.119	576.6	559.6
227.497	585	589.4
227.876	555	556.2
228.254	585.4	579.8
228.633	569	575.6
229.011	571.6	568.8
229.39	574.2	578
229.769	569	577.6
230.148	574.4	580.2
230.527	586	591.6
230.905	571.8	577.4
231.284	569.4	575
231.664	563.6	561
232.043	587	579.6
232.422	570.6	579.6
232.801	566.4	571.6
233.181	575.6	586
233.56	569.2	572.6
233.94	574.2	576.2
234.319	570	562
234.699	568.2	566.8
235.079	614.4	604.4
235.458	608	602.8
235.838	587.4	584.2
236.218	561.6	561.2
236.598	563.4	562
236.978	564.2	559.8
237.358	557.2	558.6
237.738	569	560.8
238.119	576.6	579
238.499	564.4	562.4
238.88	576.8	573.2
239.26	579.8	581.4
239.641	562.8	565.6
240.021	565.6	567.6
240.402	567.8	571.2
240.783	571.4	567.6
241.163	561	564
241.544	583.2	573.4
241.925	569.4	570.2
242.306	573.6	585.4
242.687	575.8	571
