#lambda/nm	DC	C1
208.295	470.8	471.2
208.67	432.2	436.4
209.045	395.8	398
209.419	402.6	401.8
209.794	576.6	579.2
210.169	554.4	570
210.544	701.8	695.6
210.919	610	614
211.295	592	602.4
211.67	610.4	604.8
212.045	602	603.4
212.421	611.8	609.6
212.796	638.8	642.4
213.172	598.6	604.6
213.547	604.8	616.2
213.923	602.4	607.2
214.299	606.8	610
214.675	623	611.8
215.051	606.8	607.6
215.427	616	624
215.803	635	633.4
216.179	624.2	627.4
216.555	615.4	621.6
216.932	630.2	635.6
217.308	629.6	640.4
217.684	629.6	629
218.061	630.8	635.4
218.438	640.4	634.2
218.814	637.6	632
219.191	644.4	650.8
219.568	639.8	630.4
219.945	640.4	637.6
220.322	647	656.6
220.699	645.6	651.8
221.076	661.8	653.2
221.453	654.4	658.2
221.83	646.4	645.6
222.208	650.2	654.4
222.585	646	643
222.962	661	657.2
223.34	662.6	662.8
223.717	651.4	664.4
224.095	658.2	662.6
224.473	664.6	664.8
224.851	658.4	662.8
225.229	654.8	659.2
225.607	688.8	670.8
225.985	658	661.2
226.363	673.6	677.2
226.741	671.6	678
227.119	674.6	675.8
227.497	689	695
227.876	666	665.8
228.254	685.8	686
228.633	692.4	681.8
229.011	677.2	697.4
229.39	692.8	691.2
229.769	708	698.2
230.148	699.6	704.4
230.527	714.8	716
230.905	704.6	696.8
231.284	710	711
231.664	696.6	703.4
232.043	726.8	718
232.422	724	717.4
232.801	708.6	714.4
233.181	722.8	724.8
233.56	721.2	725.2
233.94	722.8	733.2
234.319	711	724.4
234.699	733.8	734.8
235.079	769.6	783
235.458	767.4	784.8
235.838	770.2	768.2
236.218	738.2	742.8
236.598	752	757.2
236.978	753.2	753.2
237.358	758.8	766.6
237.738	766	754.2
238.119	768.8	772.2
238.499	763.8	767.8
238.88	775.4	776
239.26	794.8	809.6
239.641	771.6	777.2
240.021	782.2	782
240.402	798.4	792.8
240.783	791.6	792.6
241.163	800	797.6
241.544	802	801.4
241.925	803.4	808
242.306	819.4	820.2
242.687	802.2	800.2
243.069	801.6	794.6
243.45	807	801.6
243.831	791.6	786.2
244.212	784.2	778.6
244.594	830.4	823.4
244.975	788.8	795
245.357	788.4	774.4
245.739	768.4	754.6
246.12	764	762.4
246.502	769.4	767.4
246.884	739.2	737.2
247.266	737.6	733.8
247.648	736.4	741
248.03	753.6	751
248.412	729.4	724.2
248.794	725.4	709.8
249.176	713	699.4
249.559	708.4	722
249.941	697.8	682.8
250.323	683.4	683.8
250.706	680	673.2
251.089	686	675.6
251.471	677.6	673.6
251.854	676.8	669.8
252.237	669.2	665.2
252.62	676	667
253.002	655	652.6
253.385	647.8	646.4
253.769	658	658
254.152	635.4	642.4
254.535	649.6	638
254.918	626.4	628.6
255.301	630.6	633.6
255.685	623	633.2
256.068	612.6	619.2
256.452	642.4	648.8
256.835	630.8	623.8
257.219	624.4	620.4
257.603	627.6	627.8
257.986	607	612.8
258.37	618.6	623.2
258.754	606.8	616
259.138	613.6	625.2
259.522	615.8	628.2
259.906	611.6	610.8
260.29	615	612.4
260.675	608.8	614.2
261.059	603.6	612
261.443	602.8	607.2
261.828	618.8	615.4
262.212	621.2	612.8
262.597	601	603.4
262.981	614.2	611.8
263.366	614.6	620.6
263.751	619.8	619.2
264.136	600.8	602.6
264.521	607.2	612.4
264.906	607	609
265.291	612	622.6
265.676	607	603.6
266.061	624.2	624.2
266.446	633.2	627.6
266.831	616.4	618.8
267.217	626.2	631
267.602	624.4	614.6
267.987	611	614
268.373	608.2	605.2
268.759	627.4	619.2
269.144	615.6	616
269.53	608	601.6
269.916	610.6	608
270.302	620.8	611.2
270.688	613.4	618
271.074	606	616.8
271.46	620.4	627
271.846	633	633.4
272.232	610.4	608.6
272.618	608	606
273.004	613.8	605
273.391	628.2	621.8
273.777	616.6	622.8
274.164	618.8	614.6
274.55	625.4	620.2
274.937	610.2	614.6
275.324	604	607
275.71	617.8	622.6
276.097	620.6	612.6
276.484	611.8	608.8
276.871	620.6	609.6
277.258	622	619.6
277.645	599.6	598.8
278.032	613.2	605.8
278.419	598.8	609.2
278.807	616	620.2
279.194	603	611
279.581	605	599.4
279.969	616.6	623
280.356	609.2	618
280.744	617.2	615
281.131	639.6	636
281.519	626.4	621.4
281.907	621.4	614
282.295	603.8	609.2
282.682	616.8	626.6
283.07	607.8	615.2
283.458	618.2	614.6
283.846	622.4	620
284.235	617.2	615.8
284.623	629.2	625.6
285.011	606.4	598.6
285.399	610.4	610.4
285.788	611	612.6
286.176	609.8	601.4
286.565	629.4	625
286.953	610.2	605.4
287.342	616.6	606.2
287.731	606.8	610.8
288.119	611.8	598.2
288.508	612.4	601
288.897	610.8	618.4
289.286	604.8	603.4
289.675	615	612.6
290.064	617.4	613.8
290.453	609.2	603
290.821	605.6	613.6
291.21	627.4	622.4
291.599	610	604
291.989	620.6	615.8
292.378	617.4	621.8
292.768	625	634.4
293.157	618.2	617
293.547	625.8	616.6
293.936	623.6	606.8
294.326	608.6	597.2
294.716	615	618.4
295.106	605.4	619.8
295.496	614.6	620.2
295.886	629.6	611.4
296.276	614.4	618
296.666	616.6	608
297.056	606.2	604.4
297.446	602.2	604.6
297.836	626	625.6
298.227	608	617.4
298.617	615.6	618.8
299.008	615.6	627.6
299.398	614.4	612.2
299.789	602.6	612.4
300.179	623.8	616.8
300.57	623.4	629.8
300.961	607.6	611.6
301.352	604.2	610.6
301.742	621.4	617.4
302.133	622	618
302.524	615	613.4
302.915	611.4	610.6
303.307	609.8	606.2
303.698	629.4	628.6
304.089	612.4	617
304.48	619.6	618
304.872	616.4	628.4
305.263	616.2	614.6
305.655	606	606.2
306.046	622.2	625.4
306.438	623.4	619.8
306.829	610.4	612.4
307.221	623.8	631.8
307.613	623.2	624.4
308.005	631	619.8
308.397	636	629.8
308.789	635.6	639
309.181	627.4	633.8
309.573	633.6	627.2
309.965	622.8	622.8
310.357	615.4	611.8
310.749	625.8	625.8
311.142	613.4	611
311.534	610.8	606.6
311.926	624.2	622.4
312.319	608.8	612.8
312.711	612.6	605
313.104	619.8	628.6
313.497	623.4	612.4
313.889	652.2	649.4
314.282	625.4	629.4
314.675	635.6	641.4
315.068	623.6	612.8
315.461	622.4	618.4
315.854	634	647
316.247	616.6	620.4
316.64	616.4	610.2
317.033	612.8	614.4
317.405	618.6	621.8
317.798	619.8	615
318.192	615.6	611.2
318.585	596.8	611.6
318.979	626.4	617
319.372	601	612.4
319.766	611	613.8
320.16	627.2	626.8
320.553	629.4	626
320.947	636.2	636.8
321.341	613.6	615.8
321.735	612.6	614.4
322.129	610.8	603.4
322.523	633.6	642.6
322.917	611.4	605.8
323.311	622.4	628.6
323.705	623.2	614.4
324.099	618.4	607.4
324.494	630	635.8
324.888	624.4	627.6
325.282	616.6	610.4
325.677	633.2	627
326.071	625.8	618.4
326.466	623.6	631.4
326.861	623.4	619
327.255	630.8	623.8
327.65	618.6	629
328.045	633.2	633
328.44	614.2	619.2
328.835	608.4	610.2
329.23	608.6	619.8
329.625	641.8	638.4
330.02	611	612.4
330.415	638.8	624.8
330.81	624.8	614.8
331.206	610.6	620.2
331.601	612	621
331.996	629.6	627
332.37	633	635
332.766	613.8	609.2
333.161	642.6	633.8
333.557	607.2	618.2
333.953	609	611.4
334.348	1017.8	1014
334.744	616.8	612
335.14	610	613.2
335.536	612.6	611.4
335.932	627.2	627.8
336.328	610.8	605.2
336.724	624.8	621.8
337.12	618.4	617.6
337.516	618.2	623.2
337.913	620.2	614.4
338.309	623.8	635.4
338.705	612.4	615
339.102	612	635.2
339.498	615.6	611.8
339.895	626.4	634.4
340.291	610.6	606
340.688	628.6	630.4
341.085	615.6	613.2
341.481	610.2	612.2
341.878	617	614.6
342.275	640.2	634.6
342.672	602.6	616.4
343.069	612.8	609.2
343.466	603	604.4
343.842	629.8	620.4
344.239	607.6	600.6
344.636	623.2	610.8
345.033	606.6	610
345.431	607.8	605.6
345.828	615.6	613.4
346.225	611.2	608.2
346.623	632.2	619.2
347.02	615.2	615.8
347.418	623.8	627.2
347.816	633	628
348.213	613.2	597.8
348.611	615	621.2
349.009	606.4	610.2
349.407	621.4	620.8
349.805	603.8	605.6
350.203	594.4	601
350.601	626	620.6
350.999	613.4	609.6
351.397	642.8	649.8
351.795	620.4	616
352.193	628.8	622.4
352.57	622.6	625.6
352.969	624.6	627.8
353.367	607.4	610.4
353.766	605	612.8
354.164	616.8	606.6
354.563	611	627.8
354.961	602.4	608.6
355.36	601.4	613.6
355.759	616.4	616.2
356.158	607.8	607.8
356.557	605.8	608.2
356.956	594	610.8
357.355	602.2	609.6
357.754	622.2	612.8
358.153	615.2	627.6
358.552	635	630.8
358.951	614	609.4
359.35	624.8	621.4
359.75	610.2	613.6
360.149	616.2	606.6
360.527	599.6	597.8
360.926	609.2	603.6
361.326	611.6	619.4
361.726	618.2	614.6
362.125	613.8	606.8
362.525	628.6	627.2
362.925	617	611.6
363.325	621.8	617.2
363.724	618.2	620.6
364.124	606.4	604.4
364.524	606	605.4
364.924	610.6	617.8
365.324	622.6	627.2
365.725	591.4	602.8
366.125	618.6	619.8
366.525	619.8	610.2
366.904	605.2	612
367.304	595.4	593.4
367.705	625.2	625.8
368.105	622.4	622.2
368.506	615.2	612.8
368.906	610.8	614.6
369.307	613.6	619
369.708	622.2	624.8
370.108	607.8	601
370.509	626.6	622
370.91	602.4	605.6
371.311	621.2	612.8
371.712	615.6	619.2
372.113	609.4	617.2
372.514	596.6	613.2
372.894	616.2	615
373.295	609.2	617.2
373.696	624.8	618
374.097	623.6	625.2
374.499	635.6	645
374.9	618.4	619.8
375.301	610.2	610.2
375.703	614.8	614.8
376.105	607.2	600
376.506	616.2	622.8
376.908	606.8	612
377.309	611.6	617.4
377.711	610.2	614.4
378.113	610	615.4
378.493	617.6	613.4
378.895	608.4	610.2
379.297	625.6	616
379.699	608.2	602.8
380.102	626.8	617.4
380.504	619.2	611.8
380.906	620.8	616
381.308	645.6	626.4
381.71	618	617.8
382.113	623.6	623.2
382.515	617.2	605.2
382.918	614.2	616
383.299	609.8	618
383.701	629.4	618.8
384.104	623.8	621.6
384.507	599.4	594.6
384.909	614.2	618.4
385.312	600	607.6
385.715	609.2	612
386.118	619.4	611.8
386.521	614.8	601.4
386.924	621.4	633.4
387.327	616.6	606.6
387.709	601	619.4
388.112	611.8	599.2
388.515	621.6	616.6
388.918	614.2	609.4
389.322	632.4	629.8
389.725	618.8	613
390.129	640.4	641.6
390.532	622.8	634.6
390.936	615	621.4
391.339	611.2	614.4
391.743	620.6	620.2
392.125	613.4	615.8
